# cls	kind	count	value
cls_0x40c750	sum	1	fields=4 methods=1 lines=56
cls_0x40c750	num	3	0x90
cls_0x40c750	num	1	0x60
cls_0x40c750	num	1	0x7789fe3e
cls_0x40c750	num	1	76
cls_0x40c750	num	1	92
cls_0x40c750	num	1	96
cls_0x40c750	meth	1	meth_0x40c750:v():41
cls_0x40cc10	sum	1	fields=1 methods=0 lines=12
cls_0x40e110	sum	1	fields=2 methods=1 lines=87
cls_0x40e110	num	4	0x2c
cls_0x40e110	num	2	0x15
cls_0x40e110	num	2	0x2e
cls_0x40e110	num	2	0x30
cls_0x40e110	num	2	0x32
cls_0x40e110	num	2	0x36
cls_0x40e110	num	2	0x4c
cls_0x40e110	num	2	0x54
cls_0x40e110	num	1	0x18
cls_0x40e110	num	1	0x3c
cls_0x40e110	num	1	60
cls_0x40e110	meth	1	meth_0x40e110:v(p,d):74
cls_0x40eb00	sum	1	fields=8 methods=0 lines=19
cls_0x40eb00	num	1	104
cls_0x40eb00	num	1	156
cls_0x40eb00	num	1	236
cls_0x40eb00	num	1	240
cls_0x40eb00	num	1	60
cls_0x40eb00	num	1	88
cls_0x40ef10	sum	1	fields=1 methods=0 lines=12
cls_0x40ef10	num	1	84
cls_0x40ef10	num	1	88
cls_0x40ef40	sum	1	fields=1 methods=0 lines=12
cls_0x40ef40	num	1	84
cls_0x40ef40	num	1	88
cls_0x40f240	sum	1	fields=1 methods=0 lines=12
cls_0x40f240	num	1	84
cls_0x40f240	num	1	88
cls_0x410e10	sum	1	fields=3 methods=0 lines=55
cls_0x410e10	num	1	104
cls_0x410e10	num	1	108
cls_0x410e10	num	1	84
cls_0x411890	sum	1	fields=3 methods=1 lines=40
cls_0x411890	num	1	00411890
cls_0x411890	num	1	0x38
cls_0x411890	num	1	84
cls_0x411890	num	1	88
cls_0x411890	meth	1	meth_0x411890:v():26
cls_0x4119a0	sum	1	fields=3 methods=1 lines=40
cls_0x4119a0	num	1	0x38
cls_0x4119a0	num	1	84
cls_0x4119a0	num	1	88
cls_0x4119a0	meth	1	meth_0x4119a0:d():26
cls_0x411a00	sum	1	fields=1 methods=0 lines=12
cls_0x411a00	num	1	88
cls_0x411a00	num	1	92
cls_0x411a20	sum	1	fields=1 methods=0 lines=12
cls_0x411a20	num	1	92
cls_0x411a20	num	1	96
cls_0x411a30	sum	1	fields=5 methods=0 lines=16
cls_0x411a30	num	1	20
cls_0x411a30	num	1	24
cls_0x411a30	num	1	28
cls_0x411b00	sum	1	fields=4 methods=0 lines=15
cls_0x411b00	num	1	28
cls_0x411b00	num	1	36
cls_0x411b00	num	1	40
cls_0x411e40	sum	1	fields=3 methods=1 lines=33
cls_0x411e40	num	1	0x38
cls_0x411e40	num	1	84
cls_0x411e40	num	1	88
cls_0x411e40	meth	1	meth_0x411e40:d():19
cls_0x411e90	sum	1	fields=1 methods=0 lines=23
cls_0x411eb0	sum	1	fields=1 methods=20 lines=2483
cls_0x411eb0	str	46	d__revenant_3DScene_cpp
cls_0x411eb0	api	5	_param_1
cls_0x411eb0	api	3	SQRT
cls_0x411eb0	api	2	_param_2
cls_0x411eb0	num	27	0x1e0
cls_0x411eb0	num	27	0x280
cls_0x411eb0	num	25	0x15
cls_0x411eb0	num	22	0x14
cls_0x411eb0	num	18	0xf81f
cls_0x411eb0	num	17	0xa0
cls_0x411eb0	num	14	0x3f800000
cls_0x411eb0	num	12	0x16
cls_0x411eb0	num	9	0x13
cls_0x411eb0	num	9	0x24
cls_0x411eb0	num	9	0xfe
cls_0x411eb0	num	7	0x54
cls_0x411eb0	num	6	0x1a
cls_0x411eb0	num	6	0x1c
cls_0x411eb0	num	6	0x60
cls_0x411eb0	num	6	0x8c
cls_0x411eb0	num	5	0x2c
cls_0x411eb0	num	5	0x30
cls_0x411eb0	num	5	0x38
cls_0x411eb0	num	4	0x17
cls_0x411eb0	num	4	0x28
cls_0x411eb0	num	4	0x98
cls_0x411eb0	num	4	0x9c
cls_0x411eb0	num	4	9999
cls_0x411eb0	num	3	0x178
cls_0x411eb0	num	3	0x18
cls_0x411eb0	num	3	0x19
cls_0x411eb0	num	3	0x1f
cls_0x411eb0	num	3	0x34
cls_0x411eb0	num	3	0x461c3c00
cls_0x411eb0	num	3	0xc61c3c00
cls_0x411eb0	num	2	0x11
cls_0x411eb0	num	2	0x12
cls_0x411eb0	num	2	0x1b
cls_0x411eb0	num	2	0x1d
cls_0x411eb0	num	2	0x44
cls_0x411eb0	num	2	0x50
cls_0x411eb0	num	2	0x5e88c8
cls_0x411eb0	num	2	0x6c
cls_0x411eb0	num	2	0xffffff00
cls_0x411eb0	num	2	43
cls_0x411eb0	num	1	00412150
cls_0x411eb0	num	1	00412490
cls_0x411eb0	num	1	00414550
cls_0x411eb0	num	1	00415790
cls_0x411eb0	num	1	00415920
cls_0x411eb0	num	1	00416150
cls_0x411eb0	num	1	00417060
cls_0x411eb0	num	1	0x134
cls_0x411eb0	num	1	0x1b1
cls_0x411eb0	num	1	0x1b2
cls_0x411eb0	num	1	0x1be
cls_0x411eb0	num	1	0x1bf
cls_0x411eb0	num	1	0x1c0
cls_0x411eb0	num	1	0x1c1
cls_0x411eb0	num	1	0x1c4
cls_0x411eb0	num	1	0x1fa
cls_0x411eb0	num	1	0x200
cls_0x411eb0	num	1	0x22
cls_0x411eb0	num	1	0x23
cls_0x411eb0	num	1	0x25
cls_0x411eb0	num	1	0x26
cls_0x411eb0	num	1	0x32
cls_0x411eb0	num	1	0x3c
cls_0x411eb0	num	1	0x3ca
cls_0x411eb0	num	1	0x3cb
cls_0x411eb0	num	1	0x3cc
cls_0x411eb0	num	1	0x3d8f5c29
cls_0x411eb0	num	1	0x3dcccccd
cls_0x411eb0	num	1	0x3e4ccccd
cls_0x411eb0	num	1	0x3ec
cls_0x411eb0	num	1	0x3ed
cls_0x411eb0	num	1	0x3ee
cls_0x411eb0	num	1	0x3ef
cls_0x411eb0	num	1	0x3f0
cls_0x411eb0	num	1	0x3f1
cls_0x411eb0	num	1	0x3f4ccccd
cls_0x411eb0	num	1	0x3fc
cls_0x411eb0	num	1	0x3fd
cls_0x411eb0	num	1	0x3fe
cls_0x411eb0	num	1	0x400
cls_0x411eb0	num	1	0x40e
cls_0x411eb0	num	1	0x411efa
cls_0x411eb0	num	1	0x411f0c
cls_0x411eb0	num	1	0x411f20
cls_0x411eb0	num	1	0x411f37
cls_0x411eb0	num	1	0x42a
cls_0x411eb0	num	1	0x43480000
cls_0x411eb0	num	1	0x43fa0000
cls_0x411eb0	num	1	0x461c4000
cls_0x411eb0	num	1	0x475
cls_0x411eb0	num	1	0x476
cls_0x411eb0	num	1	0x477
cls_0x411eb0	num	1	0x478
cls_0x411eb0	num	1	0x479
cls_0x411eb0	num	1	0x48
cls_0x411eb0	num	1	0x49742400
cls_0x411eb0	num	1	0x4c
cls_0x411eb0	num	1	0x4ef
cls_0x411eb0	num	1	0x58
cls_0x411eb0	num	1	0x58f
cls_0x411eb0	num	1	0x593
cls_0x411eb0	num	1	0x597
cls_0x411eb0	num	1	0x59b
cls_0x411eb0	num	1	0x59f
cls_0x411eb0	num	1	0x5a4
cls_0x411eb0	num	1	0x5a8
cls_0x411eb0	num	1	0x5ac
cls_0x411eb0	num	1	0x5b0
cls_0x411eb0	num	1	0x5b5
cls_0x411eb0	num	1	0x5b8
cls_0x411eb0	num	1	0x5b9
cls_0x411eb0	num	1	0x5ba
cls_0x411eb0	num	1	0x5bb
cls_0x411eb0	num	1	0x5c5
cls_0x411eb0	num	1	0x78
cls_0x411eb0	num	1	0x7e1
cls_0x411eb0	num	1	0x800
cls_0x411eb0	num	1	0xbf200000
cls_0x411eb0	num	1	0xbf480000
cls_0x411eb0	num	1	0xffffffdf
cls_0x411eb0	num	1	0xffffffef
cls_0x411eb0	num	1	0xfffffffb
cls_0x411eb0	num	1	10000
cls_0x411eb0	num	1	45
cls_0x411eb0	meth	1	meth_0x411eb0:d():119
cls_0x411eb0	meth	1	meth_0x412150:d(d,d,d):47
cls_0x411eb0	meth	1	meth_0x412490:d():115
cls_0x411eb0	meth	1	meth_0x412cd0:v():59
cls_0x411eb0	meth	1	meth_0x412db0:d():682
cls_0x411eb0	meth	1	meth_0x414550:d(d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d):372
cls_0x411eb0	meth	1	meth_0x414d70:d(d,d,d,p,p):172
cls_0x411eb0	meth	1	meth_0x415790:d(d,d,f):86
cls_0x411eb0	meth	1	meth_0x415920:d():40
cls_0x411eb0	meth	1	meth_0x415b40:b(d,d,d,p,p):75
cls_0x411eb0	meth	1	meth_0x415c70:d(d,d,d,d,p,p):57
cls_0x411eb0	meth	1	meth_0x415db0:v(d):42
cls_0x411eb0	meth	1	meth_0x415f40:v(d,d,d,d):23
cls_0x411eb0	meth	1	meth_0x4160c0:v(d,d,d,d,p,p):31
cls_0x411eb0	meth	1	meth_0x416150:v():30
cls_0x411eb0	meth	1	meth_0x4162c0:d():17
cls_0x411eb0	meth	1	meth_0x417060:d(d):67
cls_0x411eb0	meth	1	meth_0x4178e0:d():65
cls_0x411eb0	meth	1	meth_0x417b00:d():73
cls_0x411eb0	meth	1	meth_0x417d60:d(d):299
cls_0x412330	sum	1	fields=1 methods=1 lines=89
cls_0x412330	str	1	d__revenant_3DScene_cpp
cls_0x412330	num	2	0x15
cls_0x412330	num	1	00412330
cls_0x412330	num	1	0x18
cls_0x412330	num	1	0x21d
cls_0x412330	num	1	0x38
cls_0x412330	meth	1	meth_0x412330:d():77
cls_0x412870	sum	1	fields=1 methods=1 lines=53
cls_0x412870	num	1	00412870
cls_0x412870	num	1	0x3f490fdb
cls_0x412870	num	1	0xc0060a92
cls_0x412870	meth	1	meth_0x412870:v(p):41
cls_0x414310	sum	1	fields=1 methods=2 lines=124
cls_0x414310	num	6	0x1f
cls_0x414310	num	5	0xfe
cls_0x414310	num	1	00414310
cls_0x414310	num	1	0xffffff00
cls_0x414310	meth	1	meth_0x414310:v():32
cls_0x414310	meth	1	meth_0x4143d0:v():76
cls_0x4159c0	sum	1	fields=1 methods=1 lines=31
cls_0x4159c0	num	1	0x34
cls_0x4159c0	num	1	0x58
cls_0x4159c0	meth	1	meth_0x4159c0:d(d):19
cls_0x415a00	sum	1	fields=1 methods=1 lines=30
cls_0x415a00	num	1	0x5c
cls_0x415a00	meth	1	meth_0x415a00:d(d):18
cls_0x415a40	sum	1	fields=1 methods=1 lines=35
cls_0x415a40	meth	1	meth_0x415a40:d(d):19
cls_0x415ad0	sum	1	fields=1 methods=1 lines=35
cls_0x415ad0	meth	1	meth_0x415ad0:d(d):23
cls_0x415b30	sum	1	fields=1 methods=2 lines=32
cls_0x415b30	num	1	00416420
cls_0x415b30	meth	1	meth_0x415b30:d():10
cls_0x415b30	meth	1	meth_0x416420:d():10
cls_0x415e90	sum	1	fields=1 methods=0 lines=12
cls_0x415ec0	sum	1	fields=1 methods=0 lines=12
cls_0x415fa0	sum	1	fields=1 methods=0 lines=12
cls_0x4161f0	sum	1	fields=1 methods=1 lines=28
cls_0x4161f0	meth	1	meth_0x4161f0:d():16
cls_0x416370	sum	1	fields=1 methods=0 lines=12
cls_0x4163b0	sum	1	fields=1 methods=0 lines=12
cls_0x416430	sum	1	fields=1 methods=0 lines=12
cls_0x4164c0	sum	1	fields=1 methods=2 lines=686
cls_0x4164c0	num	35	0x1f
cls_0x4164c0	num	5	10000
cls_0x4164c0	num	3	0x1828
cls_0x4164c0	num	3	0x48
cls_0x4164c0	num	3	0x4c
cls_0x4164c0	num	3	0x54
cls_0x4164c0	num	3	0x58
cls_0x4164c0	num	3	0x5c
cls_0x4164c0	num	3	0x60
cls_0x4164c0	num	2	0x18
cls_0x4164c0	num	2	0x1838
cls_0x4164c0	num	1	00416790
cls_0x4164c0	num	1	0x1000
cls_0x4164c0	num	1	0x800
cls_0x4164c0	num	1	0xffffff
cls_0x4164c0	meth	1	meth_0x4164c0:v(d):216
cls_0x4164c0	meth	1	meth_0x416790:v(d,p,p,d,p):458
cls_0x418570	sum	1	fields=0 methods=0 lines=23
cls_0x418570	num	2	24
cls_0x418570	num	1	00418570
cls_0x418580	sum	1	fields=0 methods=0 lines=23
cls_0x418580	num	2	24
cls_0x418580	num	1	00418580
cls_0x418640	sum	1	fields=2 methods=0 lines=13
cls_0x4186c0	sum	1	fields=1 methods=1 lines=22
cls_0x4186c0	meth	1	meth_0x4186c0:d():10
cls_0x4186d0	sum	1	fields=1 methods=1 lines=33
cls_0x4186d0	num	1	0x28
cls_0x4186d0	num	1	0x38
cls_0x4186d0	meth	1	meth_0x4186d0:d():21
cls_0x418780	sum	1	fields=1 methods=0 lines=36
cls_0x418780	num	1	00418780
cls_0x419dd0	sum	1	fields=1 methods=0 lines=38
cls_0x41b0b0	sum	1	fields=3 methods=1 lines=52
cls_0x41b0b0	num	1	68
cls_0x41b0b0	num	1	72
cls_0x41b0b0	num	1	76
cls_0x41b0b0	meth	1	meth_0x41b0b0:d(p):38
cls_0x41b240	sum	1	fields=30 methods=6 lines=491
cls_0x41b240	str	1	The_MASTER_S_script_file_can_not
cls_0x41b240	str	1	master_s
cls_0x41b240	str	1	s__s
cls_0x41b240	str	1	s__s__s
cls_0x41b240	num	6	0x1f
cls_0x41b240	num	6	0x3f
cls_0x41b240	num	6	0x80808081
cls_0x41b240	num	5	0x2c
cls_0x41b240	num	4	0x1c
cls_0x41b240	num	3	0x100
cls_0x41b240	num	3	0x38
cls_0x41b240	num	2	0xc7c35000
cls_0x41b240	num	2	10000
cls_0x41b240	num	2	500
cls_0x41b240	num	2	600
cls_0x41b240	num	1	0x1000
cls_0x41b240	num	1	0x10000
cls_0x41b240	num	1	0x19
cls_0x41b240	num	1	0x200
cls_0x41b240	num	1	0x2000
cls_0x41b240	num	1	0x20000
cls_0x41b240	num	1	0x3400
cls_0x41b240	num	1	0x3e9
cls_0x41b240	num	1	0x400
cls_0x41b240	num	1	0x40000
cls_0x41b240	num	1	0x401
cls_0x41b240	num	1	0x48
cls_0x41b240	num	1	0x5b
cls_0x41b240	num	1	0x7f
cls_0x41b240	num	1	0x800
cls_0x41b240	num	1	0x8000
cls_0x41b240	num	1	0x80000
cls_0x41b240	num	1	0xffffffbf
cls_0x41b240	num	1	208
cls_0x41b240	num	1	212
cls_0x41b240	num	1	216
cls_0x41b240	num	1	217
cls_0x41b240	num	1	218
cls_0x41b240	num	1	220
cls_0x41b240	num	1	224
cls_0x41b240	num	1	228
cls_0x41b240	num	1	232
cls_0x41b240	num	1	236
cls_0x41b240	num	1	240
cls_0x41b240	num	1	244
cls_0x41b240	num	1	248
cls_0x41b240	num	1	252
cls_0x41b240	num	1	260
cls_0x41b240	num	1	288
cls_0x41b240	num	1	30000
cls_0x41b240	num	1	312
cls_0x41b240	num	1	440
cls_0x41b240	num	1	444
cls_0x41b240	num	1	576
cls_0x41b240	num	1	580
cls_0x41b240	num	1	584
cls_0x41b240	num	1	592
cls_0x41b240	num	1	596
cls_0x41b240	num	1	604
cls_0x41b240	num	1	608
cls_0x41b240	num	1	68
cls_0x41b240	num	1	80
cls_0x41b240	meth	1	meth_0x41b240:v():64
cls_0x41b240	meth	1	meth_0x41b3c0:v(p):56
cls_0x41b240	meth	1	meth_0x41b550:v():36
cls_0x41b240	meth	1	meth_0x41b690:v():41
cls_0x41b240	meth	1	meth_0x41b770:v():93
cls_0x41b240	meth	1	meth_0x41ba00:v():160
cls_0x41bf00	sum	1	fields=5 methods=3 lines=281
cls_0x41bf00	str	2	area_def
cls_0x41bf00	str	1	AREA__name__expected
cls_0x41bf00	str	1	AREA__s
cls_0x41bf00	str	1	Error_loading_area
cls_0x41bf00	str	1	Syntax_error_between_area_blocks
cls_0x41bf00	str	1	Syntax_error_in_header
cls_0x41bf00	str	1	s_s__s
cls_0x41bf00	num	3	0xfffe7960
cls_0x41bf00	num	2	0x260
cls_0x41bf00	num	1	0x2000
cls_0x41bf00	num	1	0x58
cls_0x41bf00	num	1	0x65bd48
cls_0x41bf00	num	1	20
cls_0x41bf00	num	1	24
cls_0x41bf00	num	1	260
cls_0x41bf00	num	1	28
cls_0x41bf00	num	1	65
cls_0x41bf00	meth	1	meth_0x41bf00:d():41
cls_0x41bf00	meth	1	meth_0x41bfa0:v():30
cls_0x41bf00	meth	1	meth_0x41c000:d():194
cls_0x41c3a0	sum	1	fields=5 methods=0 lines=16
cls_0x41c3a0	num	1	20
cls_0x41c3a0	num	1	40
cls_0x41c3a0	num	1	44
cls_0x41c3a0	num	1	48
cls_0x41c3a0	num	1	52
cls_0x41c410	sum	1	fields=3 methods=1 lines=104
cls_0x41c410	num	9	0x44
cls_0x41c410	num	3	0x25c
cls_0x41c410	num	2	0x1c
cls_0x41c410	num	1	0x108
cls_0x41c410	num	1	0x10c
cls_0x41c410	num	1	0x110
cls_0x41c410	num	1	0x114
cls_0x41c410	num	1	0x118
cls_0x41c410	num	1	0x11c
cls_0x41c410	num	1	0x138
cls_0x41c410	num	1	0x4000
cls_0x41c410	num	1	0xfffffffd
cls_0x41c410	num	1	20
cls_0x41c410	num	1	24
cls_0x41c410	num	1	28
cls_0x41c410	meth	1	meth_0x41c410:v():86
cls_0x41c600	sum	1	fields=2 methods=1 lines=61
cls_0x41c600	num	6	0x44
cls_0x41c600	num	3	0x25c
cls_0x41c600	num	2	0x1c
cls_0x41c600	num	1	0xfffffff8
cls_0x41c600	num	1	0xfffffffd
cls_0x41c600	num	1	20
cls_0x41c600	num	1	24
cls_0x41c600	meth	1	meth_0x41c600:v():48
cls_0x41c700	sum	1	fields=4 methods=1 lines=33
cls_0x41c700	meth	1	meth_0x41c700:v():18
cls_0x41c720	sum	1	fields=4 methods=1 lines=31
cls_0x41c720	meth	1	meth_0x41c720:d(d):16
cls_0x41c750	sum	1	fields=3 methods=1 lines=31
cls_0x41c750	meth	1	meth_0x41c750:v():17
cls_0x41c780	sum	1	fields=1 methods=1 lines=24
cls_0x41c780	meth	1	meth_0x41c780:d():12
cls_0x41c7b0	sum	1	fields=2 methods=1 lines=33
cls_0x41c7b0	num	1	20
cls_0x41c7b0	num	1	24
cls_0x41c7b0	meth	1	meth_0x41c7b0:v():20
cls_0x41c7d0	sum	1	fields=31 methods=19 lines=1831
cls_0x41c7d0	str	4	EAX_environment_selection
cls_0x41c7d0	str	3	sound
cls_0x41c7d0	str	3	sound_effects
cls_0x41c7d0	str	1	EAX_damping
cls_0x41c7d0	str	1	EAX_decay_time
cls_0x41c7d0	str	1	EAX_effect_volume
cls_0x41c7d0	str	1	HARDWARE
cls_0x41c7d0	str	1	SetEAXEnvironment_goofed____the_n
cls_0x41c7d0	api	14	_strncpy
cls_0x41c7d0	api	4	_param_1
cls_0x41c7d0	api	2	_param_2
cls_0x41c7d0	num	28	0x103
cls_0x41c7d0	num	14	0x18
cls_0x41c7d0	num	8	0x14
cls_0x41c7d0	num	6	0x104
cls_0x41c7d0	num	6	0x7f
cls_0x41c7d0	num	5	0x3f000000
cls_0x41c7d0	num	5	0x3f333333
cls_0x41c7d0	num	3	0x3e800000
cls_0x41c7d0	num	3	0x3fbfdf3b
cls_0x41c7d0	num	3	28
cls_0x41c7d0	num	3	65
cls_0x41c7d0	num	2	0x1c
cls_0x41c7d0	num	2	0x2e
cls_0x41c7d0	num	2	0x3e656042
cls_0x41c7d0	num	2	0x3e99999a
cls_0x41c7d0	num	2	0x3eb8d4fe
cls_0x41c7d0	num	2	0x3f2a7efa
cls_0x41c7d0	num	2	0x3f800000
cls_0x41c7d0	num	2	0x40311687
cls_0x41c7d0	num	2	0x40333333
cls_0x41c7d0	num	2	0x40400000
cls_0x41c7d0	num	2	0x58
cls_0x41c7d0	num	2	0xfffffffb
cls_0x41c7d0	num	1	0x10000
cls_0x41c7d0	num	1	0x11
cls_0x41c7d0	num	1	0x12
cls_0x41c7d0	num	1	0x13
cls_0x41c7d0	num	1	0x15
cls_0x41c7d0	num	1	0x16
cls_0x41c7d0	num	1	0x17
cls_0x41c7d0	num	1	0x19
cls_0x41c7d0	num	1	0x1b
cls_0x41c7d0	num	1	0x21
cls_0x41c7d0	num	1	0x24
cls_0x41c7d0	num	1	0x3dc6a7f0
cls_0x41c7d0	num	1	0x3dcccccd
cls_0x41c7d0	num	1	0x3de147ae
cls_0x41c7d0	num	1	0x3de353f8
cls_0x41c7d0	num	1	0x3e0e5604
cls_0x41c7d0	num	1	0x3e1cac08
cls_0x41c7d0	num	1	0x3e29fbe7
cls_0x41c7d0	num	1	0x3e3851ec
cls_0x41c7d0	num	1	0x3e428f5c
cls_0x41c7d0	num	1	0x3e54fdf4
cls_0x41c7d0	num	1	0x3e849ba6
cls_0x41c7d0	num	1	0x3ea9fbe7
cls_0x41c7d0	num	1	0x3ecccccd
cls_0x41c7d0	num	1	0x3ece5604
cls_0x41c7d0	num	1	0x3ed58106
cls_0x41c7d0	num	1	0x3ee353f8
cls_0x41c7d0	num	1	0x3ef33333
cls_0x41c7d0	num	1	0x3ef4bc6a
cls_0x41c7d0	num	1	0x3ef8d4fe
cls_0x41c7d0	num	1	0x3f2353f8
cls_0x41c7d0	num	1	0x3f26e979
cls_0x41c7d0	num	1	0x3f272b02
cls_0x41c7d0	num	1	0x3f4e5604
cls_0x41c7d0	num	1	0x3f600000
cls_0x41c7d0	num	1	0x3f6353f8
cls_0x41c7d0	num	1	0x3fb1a9fc
cls_0x41c7d0	num	1	0x3fbf1aa0
cls_0x41c7d0	num	1	0x3fc00000
cls_0x41c7d0	num	1	0x3fffffff
cls_0x41c7d0	num	1	0x40000000
cls_0x41c7d0	num	1	0x4013c6a8
cls_0x41c7d0	num	1	0x40200000
cls_0x41c7d0	num	1	0x402c9ba6
cls_0x41c7d0	num	1	0x4038b439
cls_0x41c7d0	num	1	0x407d8106
cls_0x41c7d0	num	1	0x4088ed91
cls_0x41c7d0	num	1	0x40e91687
cls_0x41c7d0	num	1	0x40f20419
cls_0x41c7d0	num	1	0x410645a2
cls_0x41c7d0	num	1	0x4189df3b
cls_0x41c7d0	num	1	0x5622
cls_0x41c7d0	num	1	0x6687b0
cls_0x41c7d0	num	1	0x7fffffff
cls_0x41c7d0	num	1	0xac44
cls_0x41c7d0	num	1	0xffffffef
cls_0x41c7d0	num	1	0xfffffff7
cls_0x41c7d0	num	1	120
cls_0x41c7d0	num	1	1239
cls_0x41c7d0	num	1	124
cls_0x41c7d0	num	1	1240
cls_0x41c7d0	num	1	1499
cls_0x41c7d0	num	1	1500
cls_0x41c7d0	num	1	1759
cls_0x41c7d0	num	1	1760
cls_0x41c7d0	num	1	184
cls_0x41c7d0	num	1	188
cls_0x41c7d0	num	1	192
cls_0x41c7d0	num	1	196
cls_0x41c7d0	num	1	200
cls_0x41c7d0	num	1	24
cls_0x41c7d0	num	1	36
cls_0x41c7d0	num	1	44
cls_0x41c7d0	num	1	459
cls_0x41c7d0	num	1	460
cls_0x41c7d0	num	1	48
cls_0x41c7d0	num	1	52
cls_0x41c7d0	num	1	528
cls_0x41c7d0	num	1	56
cls_0x41c7d0	num	1	60
cls_0x41c7d0	num	1	719
cls_0x41c7d0	num	1	720
cls_0x41c7d0	num	1	979
cls_0x41c7d0	num	1	980
cls_0x41c7d0	meth	1	meth_0x41c7d0:v(d):14
cls_0x41c7d0	meth	1	meth_0x49a650:v():139
cls_0x41c7d0	meth	1	meth_0x49a830:d():165
cls_0x41c7d0	meth	1	meth_0x49ad20:d():253
cls_0x41c7d0	meth	1	meth_0x49afd0:d():142
cls_0x41c7d0	meth	1	meth_0x49b220:d():120
cls_0x41c7d0	meth	1	meth_0x49b400:v():54
cls_0x41c7d0	meth	1	meth_0x49b650:d():168
cls_0x41c7d0	meth	1	meth_0x49b880:d():23
cls_0x41c7d0	meth	1	meth_0x49b8e0:d(d):43
cls_0x41c7d0	meth	1	meth_0x49b990:d(d,d,d):148
cls_0x41c7d0	meth	1	meth_0x49bd90:v():62
cls_0x41c7d0	meth	1	meth_0x49bef0:v():245
cls_0x41c7d0	meth	1	meth_0x49c430:d():19
cls_0x41c7d0	meth	1	meth_0x49c560:d():56
cls_0x41c7d0	meth	1	meth_0x49c640:d():32
cls_0x41c7d0	meth	1	meth_0x49c6b0:v(d,d):36
cls_0x41c7d0	meth	1	meth_0x49c760:v(d):43
cls_0x41c7d0	meth	1	meth_0x49c8f0:v():27
cls_0x41c7f0	sum	1	fields=6 methods=12 lines=631
cls_0x41c7f0	str	1	SPLLVLLOW
cls_0x41c7f0	str	1	SPLLVLNEG
cls_0x41c7f0	str	1	SPLMANA
cls_0x41c7f0	str	1	spell
cls_0x41c7f0	num	7	0x14
cls_0x41c7f0	num	4	0x24
cls_0x41c7f0	num	3	0x5c
cls_0x41c7f0	num	3	0x70
cls_0x41c7f0	num	3	0x74
cls_0x41c7f0	num	2	0x120
cls_0x41c7f0	num	2	0x2a
cls_0x41c7f0	num	2	0x50
cls_0x41c7f0	num	1	00411300
cls_0x41c7f0	num	1	00411330
cls_0x41c7f0	num	1	00461700
cls_0x41c7f0	num	1	00540750
cls_0x41c7f0	num	1	00540820
